"MunicipalityName","FIPS_ID","Year","Population"
"Rocky Ford",65190,1980,4804
"Romeo",65740,1980,308
"Rye",66895,1980,232
"Saguache",67005,1980,656
"Salida",67280,1980,4870
"San Luis",68105,1980,842
"Sanford",67830,1980,687
"Sawpit",68655,1980,41
"Sedgwick",68930,1980,258
"Seibert",69040,1980,180
"Severance",69150,1980,102
"Sheridan",69645,1980,5377
"Sheridan Lake",69700,1980,87
"Silt",70195,1980,923
"Silver Cliff",70250,1980,280
"Silver Plume",70360,1980,140
"Silverthorne",70525,1980,989
"Silverton",70580,1980,794
"Simla",70635,1980,494
"Snowmass Village",71755,1980,999
"Springfield",73330,1980,1657
"Starkville",73715,1980,127
"Steamboat Springs",73825,1980,5098
"Sterling",73935,1980,11385
"Stratton",74485,1980,705
"Sugar City",74815,1980,306
"Superior",75640,1980,208
"Swink",75970,1980,668
"Telluride",76795,1980,1047
"Thornton",77290,1980,40343
"Timnath",77510,1980,185
"Trinidad",78610,1980,9663
"Two Buttes",79270,1980,84
"Vail",80040,1980,2261
"Victor",80865,1980,265
"Vilas",81030,1980,118
"Vona",81690,1980,94
"Walden",82130,1980,947
"Walsenburg",82350,1980,3945
"Walsh",82460,1980,884
"Ward",82735,1980,129
"Wellington",83230,1980,1215
"Westcliffe",83450,1980,324
"Westminster",83835,1980,50211
"Wheat Ridge",84440,1980,30293
"Wiggins",84770,1980,531
"Wiley",85045,1980,425
"Williamsburg",85155,1980,72
"Windsor",85485,1980,4277
"Winter Park",85705,1980,480
"Woodland Park",86090,1980,2634
"Wray",86310,1980,2131
"Yampa",86475,1980,472
"Yuma",86750,1980,2824
"Aguilar",760,1981,632
"Akron",925,1981,1723
"Alamosa",1090,1981,7012
"Alma",1530,1981,144
"Antonito",2355,1981,1069
"Arriba",3235,1981,236
"Arvada",3455,1981,86992
"Aspen",3620,1981,3425
"Ault",3950,1981,1025
"Aurora",4000,1981,170757
"Avon",4110,1981,719
"Basalt",4935,1981,543
"Bayfield",5265,1981,781
"Bennett",6090,1981,1069
"Berthoud",6255,1981,2429
"Bethune",6530,1981,145
"Black Hawk",7025,1981,249
"Blanca",7190,1981,259
"Blue River",7410,1981,246
"Bonanza City",7571,1981,9
"Boone",7795,1981,419
"Boulder",7850,1981,77674
"Bow Mar",8070,1981,944
"Branson",8345,1981,77
"Breckenridge",8400,1981,855
"Brighton",8675,1981,13145
"Brookside",9115,1981,182
"Broomfield",9280,1981,21315
"Brush",9555,1981,4104
"Buena Vista",10105,1981,2121
"Burlington",10600,1981,3107
"Calhan",11260,1981,581
"Campo",11645,1981,182
"Canon City",11810,1981,13238
"Carbondale",12045,1981,2212
"Castle Rock",12415,1981,4137
"Cedaredge",12635,1981,1226
"Center",12855,1981,1694
"Central City",12910,1981,350
"Cheraw",13460,1981,243
"Cherry Hills Village",13845,1981,5137
"Cheyenne Wells",14175,1981,978
"Coal Creek",15330,1981,183
"Cokedale",15550,1981,91
"Collbran",15605,1981,334
"Colorado Springs",16000,1981,224500
"Columbine Valley",16385,1981,942
"Commerce City",16495,1981,16315
"Cortez",17375,1981,7427
"Craig",17760,1981,9448
"Crawford",17925,1981,262
"Creede",14765,1981,677
"Crested Butte",18310,1981,957
"Crestone",18420,1981,55
"Cripple Creek",18530,1981,678
"Crook",18640,1981,171
"Crowley",18750,1981,195
"Dacono",19080,1981,2450
"De Beque",19355,1981,304
"Deer Trail",19630,1981,466
"Del Norte",19795,1981,1756
"Delta",19850,1981,4160
"Denver",20000,1981,495990
"Dillon",20440,1981,360
"Dinosaur",20495,1981,335
"Dolores",20770,1981,874
"Dove Creek",21265,1981,820
"Durango",22035,1981,12022
"Eads",22145,1981,902
"Eagle",22200,1981,991
"Eaton",22860,1981,1952
"Eckley",23025,1981,258
"Edgewater",23135,1981,4924
"Elizabeth",23740,1981,810
"Empire",24620,1981,436
"Englewood",24785,1981,30925
"Erie",24950,1981,1263
"Estes Park",25115,1981,2798
"Evans",25280,1981,5115
"Fairplay",25610,1981,466
"Federal Heights",26270,1981,7971
"Firestone",26600,1981,1251
"Flagler",26765,1981,552
"Fleming",26875,1981,371
"Florence",27040,1981,3076
"Fort Collins",27425,1981,67146
"Fort Lupton",27700,1981,4319
"Fort Morgan",27810,1981,8829
"Fountain",27865,1981,8651
"Fowler",27975,1981,1249
"Fraser",28305,1981,504
"Frederick",28360,1981,881
"Frisco",28690,1981,1246
"Fruita",28745,1981,3089
"Garden City",29185,1981,94
"Genoa",29680,1981,154
"Georgetown",29735,1981,886
"Gilcrest",29955,1981,1059
"Glendale",30340,1981,2560
"Glenwood Springs",30780,1981,4853
"Golden",30835,1981,12743
"Granada",31550,1981,545
"Granby",31605,1981,997
"Grand Junction",31660,1981,28915
"Grand Lake",31715,1981,392
"Greeley",32155,1981,53252
"Green Mountain Falls",32650,1981,625
"Greenwood Village",33035,1981,6019
"Grover",33310,1981,149
"Gunnison",33640,1981,5740
"Gypsum",33695,1981,847
"Hartman",34520,1981,116
"Haswell",34740,1981,118
"Haxtun",34960,1981,989
"Hayden",35070,1981,1688
"Hillrose",36610,1981,213
"Holly",37215,1981,955
"Holyoke",37270,1981,2082
"Hooper",37380,1981,75
"Hot Sulphur Springs",37600,1981,408
"Hotchkiss",37545,1981,881
"Hudson",37820,1981,712
"Hugo",37875,1981,736
"Idaho Springs",38370,1981,2109
"Ignacio",38535,1981,703
"Iliff",38590,1981,205
"Jamestown",39195,1981,234
"Johnstown",39855,1981,1546
"Julesburg",39965,1981,1514
"Keenesburg",40185,1981,539
"Kersey",40515,1981,903
"Kim",40570,1981,103
"Kiowa",40790,1981,215
"Kit Carson",41010,1981,283
"Kremmling",41560,1981,1283
"La Jara",42055,1981,840
"La Junta",42110,1981,8362
"La Salle",43605,1981,1919
"La Veta",44100,1981,626
"Lafayette",41835,1981,9786
"Lake City",42330,1981,230
"Lakeside",42495,1981,18
"Lakewood",43000,1981,117834
"Lamar",43110,1981,7794
"Larkspur",43550,1981,151
"Las Animas",43660,1981,2845
"Leadville",44320,1981,3891
"Limon",44980,1981,1746
"Littleton",45255,1981,30813
