OBJECTID,WDID,DITCH_NAME,ACREAGE,COMMENT,SHAPE_Length,SHAPE_Area
47,6400542,McWilliams Canal,187.31127541,,3659.07685241607,758024.883258831
48,0301321,Graham Seep Ditch,353.42414514,,5435.4715331861,1430262.46735407
49,0400578,Kirchner Ditch,62.60195133,,2439.71097300407,253342.116771607
50,0400561,Black Canyon Ditch,87.31846115,,4800.09616057723,353366.700457281
51,0400583,Victory Irrigation Canal Co,418.2397597,,10171.115669824,1692563.06945485
52,0400692,St. Vrain Supply Canal,658.18901143,,16962.5950476326,2663607.06600917
53,0400602,Culver Irrigation & Reservoir,1757.13755636,,20384.1885905095,7110911.85011042
54,0600543,North Boulder Farmers Ditch,1815.83883757,,24594.0950921707,7348468.54077625
55,0600536,Howell Ditch,307.32285303,,5313.19929566341,1243696.39420817
56,0400601,Rockwell Irrigation Company,362.21589183,,7674.00561464942,1465841.60509099
57,0400502,Big Thompson & Platte Ditch,3040.73126558,,30410.524793944,12305452.0602937
58,0600735,Lewis H Davidson,44.66710865,,1871.23662027933,180762.108025616
59,0600575,East Boulder Ditch,517.38533988,,8964.1406292042,2093792.5393911
60,0600610,Erie Coal Creek Ditch Co.,1598.91130181,,35760.4327407722,6470590.31861699
61,0600603,Silver Lake Ditch,2895.59053129,,27303.4012773807,11718085.9481901
62,0600532,Highland South Side Ditch,2379.26345859,,27710.3405189968,9628576.18168222
63,0600551,Rural Ditch,2039.56604268,,21744.6585087662,8253863.92361042
64,0600613,Kerr No. 2,21.66161391,,2223.58163265633,87661.8050601184
65,0600560,Andrews and Farewell Ditch,241.25963021,,6627.23721979184,976346.978666307
66,0600585,Marshalville Ditch,1555.59942842,,29826.1351637361,6295312.8410742
67,0600554,Smith Goss Ditch,86.70242039,,2923.43776803487,350873.651513718
68,0600592,Shearer Ditch,447.62160495,,9011.55761656053,1811467.59115721
69,0600527,Gooding A. & D. Plumb Ditch,1528.68188305,,23258.0124260048,6186380.78463495
70,0500831,Coffin Davis Ditch Co.,97.74898129,,3362.78337622482,395577.702973421
71,0500563,Bonus Ditch,994.72569236,,13775.733322996,4025528.14188432
72,0600564,FRICO/Marshall Lake,40187.31714809,,140102.607766918,162632953.088603
73,0600588,S Boulder Bear Cr Ditch,320.10048193,,6636.3206081146,1295405.87276111
74,0600525,Farmers Ditch,5340.38540178,,38617.9403466203,21611859.4616247
75,0500573,Hinman,1143.79362241,,13497.2853246559,4628787.0481428
76,0500575,Williamson Ditch,1697.01478751,,16660.5371662683,6867602.64364636
77,0500570,Bader,294.24917996,,8635.87898108045,1190788.96870801
78,2300763,TREVAN LOWER DITCH,4.2125338,,689.665593770751,17047.5803441405
79,2300774,CROOKED CREEK DITCH,278.13131728,,8823.58491685025,1125561.97441495
80,2300787,WADLEY DITCH 1,30.89516132,,2359.28703998758,125028.767177647
81,2300789,WADLEY DITCH 3,20.72190065,,1361.00710033049,83858.8809536571
82,2300797,TROUT CREEK DITCH,59.73705334,,3502.77905149166,241748.235716277
83,2300867,BIG PASTURE DITCH 1,35.22888611,,3355.42939459233,142566.816921986
84,2300869,LOWER BIRD DITCH,35.1183429,,3641.30277205988,142119.461289621
85,2300882,PEABODY DITCH 3,334.11994563,,6439.81133122871,1352140.87625277
86,2300887,ANDERSON BREWER DITCH,448.86935378,,8653.11629409064,1816517.09884578
87,2300888,MONTAG TRUAX DITCH,443.52266526,,6909.85821704074,1794879.73630494
88,2300889,MCCARTNEY SEEP DITCH,744.46482305,,19364.5024697956,3012754.3378723
89,2300894,DUNBAR DITCH 1,103.25078839,,3770.76666021919,417842.762447608
90,2300902,PETRIE DITCH,457.63501044,,10040.1926251477,1851990.5769029
91,2300904,LINK DITCH,600.63841248,,7539.56328340085,2430707.12913529
92,2300908,TARRYALL DITCH,33.6575209,,2601.18890761711,136207.697419481
93,2300922,HOLST DITCH 2,83.86316274,,4505.10373795768,339383.519213303
94,2300923,HOLST PACKER D,89.60470228,,7822.34236826151,362618.819254858
95,2300924,HOLST DITCH 1,36.32796397,,3701.99229950764,147014.658741364
96,2300926,PACKER BONIS DITCH,37.26934997,,2655.42199066351,150824.319931435
97,2300931,FARNUM DITCH,50.89664708,,5869.71798125536,205972.256519227
98,2300932,ALLEN ANDERSON DITCH,13.04943845,,1508.61236464171,52809.4112821243
99,2300933,ANDERSON ALLEN DITCH,14.18514658,,2325.31718006237,57405.4677217184
100,2300936,ANSON A ALLEN DITCH,12.08485603,,1948.79823961669,48905.8682987207
101,2300937,BRADLEY DITCH,41.00835121,,3048.62501335373,165955.58511665
102,2300948,MCLAUGHLIN CLAIM,19.68429213,,3098.47962736154,79659.8251683308
103,2300963,RANDALL NICHOLAS DITCH,89.23963273,,4206.22078745332,361141.408832304
104,2300968,KAMMER DITCH,50.39555939,,2286.49025611482,203944.420410712
105,2300975,E.C. WHITTEN DITCH 1,50.04823549,,2748.45554659495,202538.848979653
106,2300977,WHITTEN DITCH,71.14897702,,2832.93576109307,287930.834606897
107,2300986,SESSIONS DITCH,142.23924268,,9508.15819156554,575624.103551454
108,2300987,RANDALL DITCH,1082.14577955,,19819.6524495769,4379306.15347385
109,2300991,TAYLOR DITCH,154.67436465,,4215.66347435332,625947.455300383
110,2300993,GIBSON DITCH,160.54352232,,7984.73700724456,649699.21594077
111,2300994,CROSIER TAYLOR DITCH,286.1830951,,5825.68664700953,1158146.52715028
112,2301002,SHEEP ROCK DITCH,92.15091656,,2892.18265485008,372922.981567794
113,2301003,BRUBAKER DITCH,1063.21118908,,24139.508055551,4302680.33062383
114,2301005,LILLEY HARRIMAN D,663.48686601,,14579.8431096643,2685046.84729933
115,2301018,Taylor Jefferson Creek Ditch,62.82088879,,4173.7498680737,254228.123615265
116,2301020,CROSIER HAWXHURST DITCH,80.27317577,,4425.31774578969,324855.343324506
117,2301025,BAKER DITCH,386.43280159,,9923.84509251947,1563844.36587609
118,2301075,HAY CREEK DITCH,49.67040582,,2737.14718554373,201009.813573439
119,2301138,UPPER WILSON DITCH,10.44940813,,1442.73609693941,42287.4253253971
120,2301140,SISLER DITCH,22.2622893,,1663.72552753621,90092.6462402995
121,0400534,Mariana Ditch,47.11799007,,1816.89225878872,190680.505233683
122,0500547,Oligarchy Ditch,8833.52087856,,46560.1944894839,35748133.7376289
123,0500546,Chapman McClasin,481.00289198,,9597.97198332307,1946557.35123137
124,0500528,Palmerton Ditch,1595.54212535,,20054.5342288543,6456955.69125693
125,0500568,Crocker Ditch,1021.19739405,,13435.7794561516,4132655.79314495
126,0500565,Haldi Ditch,525.35769415,,8170.93366104873,2126055.71050951
127,0500542,Davis Downing,580.84958473,,7298.45723804829,2350624.27544181
128,0500551,Pella Ditch,225.93903584,,5603.3477141878,914346.512181693
129,0500553,Hagers Meadow,73.75181569,,3462.38196680779,298464.188783836
130,0500602,James Mason Ditch Co.,79.28496754,,2856.61189974262,320856.163943294
131,0500557,Northwest Mutual Life Ins Ditch Co.,101.31902094,,3859.35456541039,410025.143907221
132,0500552,Clover Basin Irrigation Co.,1079.51012933,,16085.7023457495,4368639.96612109
133,0500574,Holland Ditch,2941.47125997,,22944.3636422324,11903759.3497198
134,0500554,Niwot Ditch,493.03131197,,9146.5209768383,1995234.85850394
135,0500550,Peck Ditch,1047.61584276,,11788.2963356064,4239567.86209454
136,0600580,Howard Ditch,1059.90402316,,12722.5282786614,4289296.57377342
137,0600576,Enterprise Ditch,2114.89190179,,20152.3028137385,8558698.11707013
138,0600586,McGinn Ditch,1784.08126737,,22598.3763429266,7219949.54708758
139,0600593,South Boulder Canyon Ditch,4911.78144572,,41136.5399242643,19877353.7345247
140,0400524,Home Supply Ditch,29149.8542096,,105673.530656864,117965746.608624
141,0400503,Big Thompson Ditch & Manufacturing,1869.09907353,,19282.6095353535,7564005.87394396
142,0400530,Louden Canal,16330.35579349,,82454.0309124653,66086869.6165445
143,0500511,Longmont Pipeline,53.40480909,,2053.61986771215,216122.445192833
144,0301021,Menden Hall Pearson Ditch,7.33919879,,1077.35461411279,29700.8187765507
145,0600513,Boulder & Lefthand Ditch,2663.84632293,,28550.1538818071,10780246.6968298
146,0600537,Leggett Ditch,4658.42787495,,46278.5462535626,18852064.2764461
147,0600565,Leyner Cottonwood Consolidated,3308.44398229,,30934.8283021212,13388851.2668414
148,0600528,Green Ditch,1437.73023114,,13700.2852236222,5818311.12367512
149,0600569,Dry Creek Davidson Ditch,1007.01642894,,18402.5348887492,4075267.22371302
150,0801403,Heiser Ditch,93.16218152,,3769.84397353807,377015.477038302
151,8000710,Cumberland Ditch 1,18.25255855,,1279.31293046721,73865.7770716611
152,8000709,Cumberland Ditch,13.1791586,,2192.76322361087,53334.3712082071
153,8000650,Wanita Ditch,20.56782539,,2532.81428307455,83235.3812785503
154,8000651,Hall Valley Ditch,5.96693116,,954.203408094556,24147.4143248421
155,8000713,Kenosha Ditch,35.85015347,,2201.25747134294,145080.993742469
156,8000729,Cassel Ditch 1,13.6354714,,1137.05524477955,55181.0269290768
157,8000730,Cassel Ditch 2,56.68475358,,2581.51190361301,229395.954567357
158,8000732,Craig Park Gulch Ditch,34.27235772,,2013.05540829379,138695.869348601
159,8000657,Hepburn Ditch 2,92.0642637,,3014.18346390601,372572.330201344
160,8000740,Hepburn Ditch 4,19.66178723,,1300.6579483276,79568.7482033437
161,8000659,Mack Ditch 3,38.73028167,,2416.84086022336,156736.510780668
162,8000661,Mack Ditch 2,23.11236462,,2487.4496461155,93532.8034461421
163,8000760,Winkler Ditch 1,13.79433987,,1352.86685213597,55823.9285070814
164,8000761,Winkler Ditch 3,42.81850332,,2068.0310886221,173281.044076989
165,8000921,Winkler Ditch,15.0920228,,1417.5412615886,61075.4939586906
166,8000759,McArthur Ditch,67.18598437,,2298.47490812196,271893.102451089
167,8000660,Slaght Ditch,67.92892256,,2997.48010685711,274899.684948322
168,8000662,Mack Ditch 1,29.8240554,,2029.9131278392,120694.141787942
169,8000763,Ashrama D PL HGT 1,71.46819216,,4404.38991749393,289222.705814656
170,8000764,Ashrama D PL HGT 2,71.46819216,,4404.38991749393,289222.705814656
171,8000668,North Side Ditch,7.95880467,,1595.57742849707,32208.2593983718
172,8000828,Willowmere South Ditch,20.29323399,,2336.60318374302,82124.1295890308
173,8000843,Swan Ditch 1,9.27229163,,939.044154593303,37523.7920354397
174,8000829,Rocky Mountain Fuel Ditch 1,59.94003561,,5898.52141069438,242569.701350874
175,8000897,Berrien Ditch 3,2.42423005,,516.065106926604,9810.54879360592
176,8000895,Berrien Ditch 1,13.32008066,,2054.16264759205,53904.6640223702
177,8000896,Berrien Ditch 2,6.28385913,,1298.98415432072,25429.9769082634
178,8000847,Hurlbutt Ditch 2,15.79734517,,1129.77300600158,63929.8369256709
179,8000849,Hurlbutt Ditch 1,14.67119055,,1097.16300723963,59372.4364200587
180,8000858,Hurlbutt Ditch,26.83542218,,1899.88208896201,108599.553258847
181,8000854,Davis Ditch 3,12.9485983,,2242.70903856331,52401.3355897999
182,8000831,Davis Ditch 1,20.2304523,,2383.38933256934,81870.052224875
183,8000848,Davis Ditch 2,33.71311275,,2347.1440032674,136432.661283057
184,0900739,Hicks #2,14.29855208,,2711.62697188178,57864.4239673976
185,0900740,Hicks #4,7.1104711,,1219.39741083624,28775.1745713569
186,0900741,Hicks #5,3.73308247,,858.336568762925,15107.3098402635
187,0801362,John Jones,169.87536287,,3571.65581703952,687463.972706617
188,0600650,Goodhue and Rock Creek Ditch,9873.76290677,,68572.1940607298,39957860.729343
189,4800566,HANCE DITCH,134.21923975,,6337.34277130991,543168.152875464
190,4800533,CABIN DITCH,11.99443932,,990.579679610244,48539.972364476
191,4800551,WARD DITCH 1,39.50904528,,2330.678910528,159888.069366534
192,4800514,YELTON DITCH,119.17931882,,6788.36368193371,482303.521355525
193,4800537,TALMAGE DITCH 1,14.92869088,,1346.66664760046,60414.5074564737
194,4800536,GLENDEVEY DITCH,9.33520743,,952.701666537212,37778.3884820347
195,4800538,MCINTYRE DITCH,4.6891546,,1164.39496854505,18976.4069661861
196,4800579,GRANT DITCH,58.50277068,,3284.16119109406,236753.26537676
197,4800544,PINE CREEK DITCH,47.96469764,,4000.57161684361,194107.021520558
198,4800550,WARD DITCH 2,22.24765122,,1272.64056927777,90033.3999735723
199,4800527,LINK DITCH 2,20.10391616,,1678.56598624713,81357.9829341
200,4800561,HOMESTEAD DITCH 2,33.91860416,,1755.12203359388,137264.279911751
201,4800557,PACHE DITCH,203.05508977,,7078.43925187489,821738.074800236
202,4800562,HOMESTEAD DITCH 1,41.47121739,,2601.3994006889,167828.730251085
203,4800542,LAMB DITCH,65.94635587,,2276.04530890264,266876.499615547
204,4800507,TIMOTHY DITCH,352.89387558,,6429.38567311832,1428116.55899294
205,4800563,FORRESTER CREEK DITCH,19.62837786,,1250.85469577551,79433.5346028379
206,4800541,HOMESTEAD DITCH,60.20773072,,2917.53376220292,243653.011714634
207,4800539,COMET DITCH,42.85589758,,3038.55696391764,173432.351464741
208,4800549,JIM CREEK DITCH,44.77374233,,2790.0249533606,181193.633977442
209,4800553,JIMMY CREEK DITCH,64.2275362,,4489.10171816518,259920.673426494
210,4800556,SCHNITGER DITCH,152.54087505,,6595.62605827203,617313.482376855
211,4800558,LA GARDE DITCH 1,138.44246623,,4974.25368701268,560259.022368036
212,4800559,LA GARDE DITCH,105.25728182,,6288.86202073865,425962.796847011
213,4800569,GRANT DITCH UPPER,67.56552139,,4183.15352444246,273429.067746244
214,0700720,Brookside Ditch,161.5366416,,3432.91715923569,653718.229023607
215,0700551,Cort/Graves/Hughes,230.12692371,,5924.14654080219,931294.365047788
216,0700526,Denver View AKA Tucker,2429.46004369,,33832.7717363108,9831715.38151569
217,0700570,Fisher Ditch,2439.13733138,,19313.6528179388,9870877.98779884
218,0700698,Wannemaker Ditch,1728.59294106,,18768.1861258594,6995395.36958625
219,0700711,Long Lake Ditch,929.64154185,,11130.1138284075,3762140.82978802
220,0700601,Lee/Stewart/Eskins Ditch Co,1939.95661379,,18458.4012640093,7850757.32506411
221,0700647,Reno Juchem & Swadley Longan Ditch,4027.20315429,,41627.3678261846,16297578.3715014
222,0700569,Farmers High Line Canal & Reservoir,61349.76384043,,138856.213220705,248274678.976391
223,0700652,Rocky Mountain Ditch,20054.80431416,,66758.959421248,81159238.2666086
224,0700632,Oulette Ditch,27.20299189,,2472.3033323428,110087.02616091
225,0500583,Upper Baldwin Ditch,399.95943436,,13287.5895142699,1618584.87872659
226,0600622,TN Willis Ditch,72.46547292,,2574.78359597906,293258.522202553
227,0600611,Harris Ditch,124.9310425,,4523.50931525791,505579.991115404
228,0600515,Boulder & Weld County Ditch,4479.28648279,,40370.6096840086,18127101.7091758
229,0400596,Jim Eglin Ditch,369.12300143,,8587.06955720876,1493793.78995606
230,2300500,PLATTE STATION DITCH,150.79638871,,3614.88151863872,610253.784301545
231,2300504,SOUDERS WOLFE D 3,40.98437724,,4457.59485478087,165858.558431358
232,2300505,SOUDERS WOLFE D 4,26.51485864,,2681.83686245616,107302.259110449
233,2300564,MIKLES DITCH,95.39501896,,3527.28611386754,386051.520653081
234,2300568,RADFORD WRIGHT DITCH,168.92344844,,4986.45113482523,683611.662257956
235,2300583,JACKSON DITCH,6.46869774,,1105.48256075195,26177.9967281425
236,2300585,HALL DITCH 1,128.50728367,,3591.61569422532,520052.566954031
237,2300586,HALL DITCH 2,169.50787658,,3979.66771160695,685976.757582558
238,2300691,FEHRINGER 2 DITCH,444.85625581,,8501.96826146861,1800276.56976354
239,0801240,Ratcliff Dillion Ditch,503.95087404,,7324.88389947339,2039425.00999126
240,0801230,Pleasant Park,653.36987879,,10575.6704334311,2644104.66370932
241,0801360,Conehay #1,138.91036032,,5652.80782403122,562152.515026212
242,0801421,Duvall Ditch,96.1883009,,3697.25701497294,389261.784442643
243,0801416,Goodrich Ditch,53.84678738,,2493.68235406529,217911.107693773
244,0801418,Necessity Ditch,88.80855651,,3847.78299101986,359396.932155089
245,0801406,Schreiber Ditch,10.51868572,,1035.28258672362,42567.7752247778
246,0801492,Izzard Ditch,29.33672809,,2533.55689328359,118722.002686541
247,0801412,Sixty Seven Ditch,121.79036024,,7512.56257573875,492870.082760455
248,0801413,Crawford Ditch,42.27557544,,4424.81451455462,171083.83837721
249,0801405,Smith Ditch,53.82671644,,3290.82660942189,217829.863678023
250,0801404,McCracken Ditch,137.9686519,,7212.58085831543,558341.524238368
251,0801414,Birmingham Ditch,141.53028889,,3333.51551737917,572755.056340771
252,0400580,Perkins Ditch,257.3270612,,7224.3709794331,1041369.85296771
253,0400582,Union Ditch,100.36149472,,3923.87604115711,406150.198346733
254,0400691,Hansen Supply & Feeder Canals,3602.88269779,,57911.1760262176,14580407.3920069
255,0600538,Lower Boulder Ditch,7147.33767875,,74616.1939991456,28924364.9993041
256,0200871,FRICO/Standley Lake,31760.11804102,,101521.708510025,128529151.718607
257,0400521,Handy Ditch & Reservoir,20755.42448688,,93203.8906639303,83994558.8227548
258,0700614,Manhart Ditch,546.32888447,,9844.087778969,2210923.37562405
259,0700527,Bayou Slough Ditch,3003.49648326,,21803.3642565301,12154767.6958784
260,0700502,Agricultural Ditch and Reservoir,18128.7403115,,78145.94885512,73364702.6811146
261,0301040,Mitchell No. 1 Ditch,26.7813856,,1714.64006200626,108380.859337586
262,0301039,Mitchell No. 2,505.61385443,,10174.9243980123,2046154.8488227
263,0301041,Wetzler Ditch,238.39090976,,9063.50439354838,964737.629662135
264,0301030,Rabbit Creek,432.62823416,,9521.52269294879,1750791.37544803
265,0300997,Chase Ditch,87.27447236,,6579.80140172706,353188.681502657
266,0300995,Calloway Ditch,251.04374444,,5677.18637502265,1015942.06165143
267,0300911,Water Supply & Storage,69231.34015495,,230430.839210583,280170414.231548
268,0301051,"Peery Ditches, Campbell Development",114.20389238,,4940.5277424196,462168.587578422
269,0301229,Maxwell No. 2 Ditch,119.74604185,,5174.03545843348,484597.017266848
270,0300991,Campton Ditch,196.93456895,,11048.8655293448,796969.113201619
271,0301022,Maxwell Ditch,15.72097785,,1876.15391767102,63620.8041127344
272,0301023,Hawkes Ditch,34.40573699,,2991.73092386162,139235.623677185
273,0301206,Weaver Ditches,54.73106085,,3146.3799231718,221489.627299165
274,0301204,Davis Ditches,38.06438741,,2557.65715299694,154041.728115087
275,0301017,Woods Ditches,27.76320102,,2805.97656854381,112354.11851709
