"MunicipalityName","FIPS_ID","FIPS_ID_Flag","GNIS_ID","GNIS_ID_Flag","DOLA_LG_ID","DOLA_LG_ID_Flag","OWF_ID","OWF_ID_Flag","PWS_ID","PWS_ID_Flag","DWR_WaterDistrict_ID","DWR_WaterDistrict_ID_Flag","County_CSV","NumCounty","IBCC_Basin_CSV","Num_IBCC_Basin","Latitude","Longitude","Lat_Long_Flag","Website","Website_Flag","Comment","Pop2006","Pop2016","Percent_Change"
"Deer Trail",19630,"G",2412415,"G",3033,"G","DeerTrail","G","CO0103030","G",NA,"x","Arapahoe",1,"South Platte",1,39.615363,-104.043303,NA,"http://www.townofdeertrail.co/","G","New BNDSS ID; did not have an ID in original BNDSS",554,689,24.4
"Denver",20000,"G",2410324,"G",16002,"G","Denver","G","CO0116001","G",NA,"x","Denver",1,"Metro, South Platte",2,39.761976,-104.875766,NA,"http://www.denvergov.org/","G","",562862,693292,23.2
"Eaton",22860,"G",2412462,"G",62008,"G","Eaton","G","CO0162233","G",NA,"x","Weld",1,"South Platte",1,40.527223,-104.712559,NA,"http://www.eatonco.org/","G","",4067,5104,25.5
"Eckley",23025,"G",2412464,"G",63003,"G","Eckley","G","CO0163001","G",NA,"x","Yuma",1,"South Platte",1,40.112252,-102.488307,NA,"http://townofeckley.weebly.com/","G","",262,253,-3.4
"Edgewater",23135,"G",2410399,"G",30020,"G","Edgewater","G","CO0130237","G",NA,"x","Jefferson",1,"Metro",1,39.750853,-105.062633,NA,"http://www.edgewaterco.com/","G","",5173,5349,3.4
"Elizabeth",23740,"G",2412474,"G",20004,"G","Elizabeth","G","CO0120010","G",NA,"x","Elbert",1,"South Platte",1,39.361015,-104.606172,NA,"http://www.townofelizabeth.org/","G","New BNDSS ID; did not have an ID in original BNDSS",1413,1409,-0.3
"Empire",24620,"G",2412485,"G",10005,"G","Empire","G","CO0110010","G",NA,"x","Clear Creek",1,"South Platte",1,39.759449,-105.682783,NA,"","N","",358,297,-17
"Englewood",24785,"G",2410441,"G",3041,"G","Englewood","G","CO0103045","G",NA,"x","Arapahoe",1,"Metro",1,39.646791,-104.994293,NA,"http://www.englewoodco.gov/","G","",31202,34007,9
"Erie",24950,"G",2412599,"G",64060,"G","Erie","G","CO0162255","G",NA,"x","Boulder, Weld",2,"South Platte",1,40.040157,-105.040252,NA,"https://www.erieco.gov/","G","",14811,21972,48.3
"Estes Park",25115,"G",2412603,"G",35004,"G","EstesPark","G","CO0135257","G",NA,"x","Larimer",1,"South Platte",1,40.36987,-105.521623,NA,"https://www.colorado.gov/townofestespark","G","",5754,6259,8.8
"Evans",25280,"G",2410467,"G",62011,"G","Evans","G","CO0162260","G",NA,"x","Weld",1,"South Platte",1,40.366034,-104.738911,NA,"http://www.evanscolorado.gov/","G","",17164,20223,17.8
"Fairplay",25610,"G",2412616,"G",47005,"G","Fairplay","G","CO0147020","G",NA,"x","Park",1,"South Platte",1,39.224496,-105.996948,NA,"http://fairplayco.us/","G","",672,715,6.4
"Federal Heights",26270,"G",2410493,"G",1009,"G","FederalHts","G","CO0101055","G",NA,"x","Adams",1,"Metro",1,39.865026,-105.015469,NA,"http://www.fedheights.org/","G","",11128,12384,11.3
"Firestone",26600,"G",2412626,"G",62012,"G","Firestone","G","CO0162476","G",NA,"x","Weld",1,"South Platte",1,40.156383,-104.94947,NA,"http://www.firestoneco.gov/","G","",8066,12943,60.5
"Flagler",26765,"G",2412628,"G",32010,"G","Flagler","G","CO0132010","G",NA,"x","Kit Carson",1,"South Platte",1,39.294399,-103.075062,NA,"http://flaglercolorado.com/","G","",562,554,-1.4
"Fleming",26875,"G",2412631,"G",38005,"G","Fleming","G","CO0138010","G",NA,"x","Logan",1,"South Platte",1,40.681191,-102.839506,NA,"","N","New BNDSS ID; did not have an ID in original BNDSS",445,405,-9
"Fort Collins",27425,"G",2410526,"G",35009,"G","FtCollins","G","CO0135291","G",NA,"x","Larimer",1,"South Platte",1,40.54776,-105.065725,NA,"https://www.fcgov.com/","G","",135034,162919,20.7
"Fort Lupton",27700,"G",2410528,"G",62014,"G","FtLupton","G","CO0162291","G",NA,"x","Weld",1,"South Platte",1,40.084165,-104.802365,NA,"http://www.fortlupton.org/","G","",7234,7975,10.2
"Fort Morgan",27810,"G",2410529,"G",44006,"G","FtMorgan","G","CO0144005","G",NA,"x","Morgan",1,"South Platte",1,40.255795,-103.790371,NA,"http://www.cityoffortmorgan.com/","G","",11075,11165,0.8
"Foxfield",28105,"G",2412649,"G",3134,"G","Foxfield","G","","M",NA,"x","Arapahoe",1,"Metro",1,39.588175,-104.785483,NA,"http://foxfieldcolorado.com/","G","",685,780,13.9
"Frederick",28360,"G",2412656,"G",62016,"G","Frederick","G","CO0162288","G",NA,"x","Weld",1,"South Platte",1,40.109531,-104.966881,NA,"http://www.frederickco.gov/","G","",7253,12209,68.3
"Garden City",29185,"G",2412667,"G",62018,"G","GardenCity","G","CO0140897","G",NA,"x","Weld",1,"South Platte",1,40.394586,-104.689525,NA,"http://townofgardencity.com/","G","New BNDSS ID; did not have an ID in original BNDSS",259,247,-4.6
"Genoa",29680,"G",2412675,"G",37004,"G","Genoa","G","CO0137005","G",NA,"x","Lincoln",1,"South Platte",1,39.278264,-103.49931,NA,"https://www.colorado.gov/townofgenoa","G","New BNDSS ID; did not have an ID in original BNDSS",160,145,-9.4
"Georgetown",29735,"G",2412677,"G",10007,"G","Georgetown","G","CO0110015","G",NA,"x","Clear Creek",1,"South Platte",1,39.717971,-105.694229,NA,"https://www.georgetown-colorado.org/","G","",1059,1061,0.2
"Gilcrest",29955,"G",2412683,"G",62020,"G","Gilcrest","G","CO0162310","G",NA,"x","Weld",1,"South Platte",1,40.284171,-104.782024,NA,"http://townofgilcrest.org/","G","New BNDSS ID; did not have an ID in original BNDSS",1044,1094,4.8
"Glendale",30340,"G",2410598,"G",3043,"G","Glendale","G","CO0103055","G",NA,"x","Arapahoe",1,"Metro",1,39.703597,-104.935205,NA,"http://www.glendale.co.us/","G","",4365,5048,15.6
